INF109,INF110_TOT,PatrullajeTotal,Denuncias
5,58,224,70
2,18,90,2
4,27,90,3
2,55,210,17
2,28,180,8
1,35,270,16
4,29,270,15
3,22,360,6
3,21,900,12
6,162,2160,418
5,110,162,175
5,55,450,93
5,68,684,10
5,79,7,75
5,61,545,37
3,23,210,3
5,119,1500,56
2,16,60,3
4,24,240,43
5,46,180,36
3,34,18,13
2,10,6,0
5,47,18,25
3,17,180,1
5,31,270,7
1,9,270,0
4,9,17,2
1,8,180,0
2,11,180,2
3,7,90,1
3,12,60,5
2,14,90,2
1,8,180,0
3,22,180,9
5,33,660,1
3,14,120,7
3,14,120,0
3,9,190,1
5,21,150,8
3,10,120,2
3,8,210,0
3,9,180,4
5,87,720,24
3,9,150,0
3,10,180,3
3,8,90,8
2,15,150,0
3,7,120,6
2,6,105,0
3,12,180,1
5,56,720,3
2,7,75,0
3,10,240,2
1,8,120,0
1,9,128,0
3,8,95,0
2,6,135,2
5,78,740,26
5,62,360,21
4,11,150,1
3,16,120,3
3,15,90,0
3,18,94,9
4,9,90,0
3,11,150,0
5,87,240,63
3,32,180,6
5,77,240,51
3,21,180,13
3,14,140,0
1,8,90,0
4,19,90,21
3,19,18,1
4,22,180,31
2,12,190,0
5,98,840,52
4,35,450,79
3,38,270,15
3,19,270,2
3,36,270,0
3,71,270,8
5,67,270,2
2,16,6,2
4,19,180,12
3,21,12,12
3,21,270,0
2,13,180,0
1,5,60,0
2,6,90,2
1,5,30,4
1,5,30,0
3,7,90,2
3,6,30,0
2,7,180,0
3,7,90,0
6,82,180,64
4,13,98,1
3,8,150,1
3,7,90,3
3,5,180,0
4,5,90,0
2,6,90,0
2,4,90,0
3,20,150,7
2,4,0,0
2,5,0,0
2,6,0,4
5,29,240,35
4,6,270,5
3,5,90,2
4,7,210,5
4,4,90,4
4,4,90,6
4,9,180,0
1,10,60,6
1,11,60,0
1,10,90,3
1,5,120,0
5,24,195,4
3,3,30,0
3,9,150,2
2,9,90,0
4,4,60,0
3,5,30,0
2,6,90,3
2,6,180,0
2,5,90,0
5,160,810,284
4,130,450,249
5,102,1440,77
4,67,600,46
3,13,180,0
4,35,300,24
3,20,240,9
1,26,210,4
5,154,1680,416
3,124,1110,109
6,92,450,95
2,28,146,20
4,39,180,48
3,11,360,0
4,9,150,2
6,23,150,6
5,39,180,47
4,32,270,19
3,23,360,2
4,14,90,10
3,16,420,7
3,25,200,8
5,26,210,9
3,17,180,25
4,40,270,38
5,65,150,20
4,20,180,3
2,13,540,2
6,88,180,60
3,10,180,0
2,7,150,0
5,14,270,6
5,92,840,94
3,25,90,36
2,20,180,11
3,18,360,13
4,18,200,16
4,23,210,8
3,10,150,4
3,31,240,29
4,43,270,26
2,12,90,10
3,14,120,4
1,6,0,0
3,17,240,5
4,25,390,11
6,100,17,168
4,95,435,166
6,93,540,131
6,99,1170,67
6,91,180,57
6,97,780,34
5,79,550,17
5,80,1080,41
5,67,18,68
5,57,270,39
6,115,210,120
4,40,180,28
4,36,230,12
4,43,450,41
1,16,240,4
2,34,360,12
2,13,150,3
5,68,245,97
2,16,480,2
1,16,180,0
3,19,270,12
2,12,90,5
4,23,360,3
2,19,240,0
3,25,150,29
2,15,140,9
3,20,420,3
1,14,150,1
5,26,12,19
1,13,230,15
3,9,90,1
5,58,450,54
3,14,85,2
3,10,90,2
3,12,60,11
3,17,120,2
4,16,100,6
3,8,90,0
4,27,360,17
3,10,210,0
1,9,240,1
2,10,120,2
3,12,150,0
1,9,60,0
4,9,5,0
4,10,6,0
1,10,30,0
3,20,240,17
2,27,480,16
4,21,150,9
1,10,120,4
4,27,180,36
2,10,120,6
5,15,140,9
2,12,150,3
2,9,60,3
1,10,95,0
5,26,390,14
2,9,65,0
3,10,180,1
5,22,7,3
4,10,7,0
5,10,5,2
4,9,7,0
4,10,4,0
4,22,180,2
1,11,120,0
1,9,120,0
1,9,60,0
1,9,150,0
5,27,360,25
4,18,150,1
4,25,150,31
2,15,90,2
4,65,450,68
1,5,81,3
1,5,90,0
4,4,90,0
1,6,60,0
2,9,90,1
1,9,90,1
1,6,90,1
1,4,60,0
1,10,120,0
5,62,90,57
3,6,98,2
3,7,60,3
2,8,120,9
2,7,76,4
2,10,180,2
2,11,120,4
3,32,180,14
2,7,450,0
2,16,90,12
2,21,210,5
2,7,0,5
1,6,30,0
1,7,120,0
1,4,57,0
1,10,90,2
2,10,30,2
1,7,90,1
2,8,8,0
1,10,108,5
2,6,60,2
2,30,180,2
2,6,180,1
2,6,90,5
1,5,90,1
1,6,180,1
1,5,30,0
5,64,180,81
1,7,180,1
2,8,90,23
1,8,90,2
1,9,270,8
2,6,180,2
3,7,90,6
5,64,31,23
4,14,12,0
4,16,10,2
6,62,150,41
5,41,90,75
1,13,90,2
2,13,90,5
4,13,90,3
4,17,60,31
2,14,90,2
1,35,180,14
3,16,35,9
2,17,120,0
5,26,90,11
4,31,23,11
2,18,114,0
5,30,270,7
2,18,120,2
3,20,90,2
3,23,240,0
3,27,120,4
5,95,270,5
4,25,60,8
2,22,12,8
5,45,240,58
5,49,270,80
3,19,90,8
3,15,90,1
6,80,53,56
2,18,180,1
2,18,82,1
6,72,180,30
3,69,8,20
3,21,48,3
4,17,31,1
6,135,210,145
2,12,45,6
3,12,3,3
4,46,120,46
2,10,60,2
2,10,90,3
2,11,30,4
3,11,40,9
2,9,30,0
1,8,30,1
2,10,120,3
3,30,360,28
2,4,90,0
2,6,180,0
2,6,60,0
1,8,120,0
4,12,150,11
3,14,60,9
2,10,40,4
3,8,30,1
2,8,90,0
3,9,30,7
2,8,30,0
2,8,30,0
6,165,90,62
6,113,120,40
1,5,90,0
1,12,120,4
1,6,90,0
1,5,30,0
1,11,90,0
1,9,4,0
1,7,6,1
2,19,153,1
2,9,180,0
6,102,180,31
1,9,180,1
6,158,270,82
5,89,120,15
5,44,270,18
1,6,180,0
